iter	RMSE
0	0.9629462341
1	0.9568252993
2	0.9512758943
3	0.9459727258
4	0.9408971151
5	0.9363840226
6	0.9313379482
7	0.9257820333
8	0.9210543657
9	0.9167164786
10	0.9121520492
11	0.9078938809
12	0.9034246404
13	0.8991905954
14	0.8951252022
15	0.8905604641
16	0.8857225009
17	0.8813666179
18	0.8769693907
19	0.8727353868
20	0.8697566583
21	0.8654291251
22	0.8620053202
23	0.857920083
24	0.8535084978
25	0.8505340732
26	0.847461529
27	0.8441293685
28	0.841492621
29	0.8377416917
30	0.8345345196
31	0.8316706847
32	0.8292300151
33	0.8254049504
34	0.8226868879
35	0.8201069527
36	0.8168850492
37	0.8136973293
38	0.8109199454
39	0.8082048436
40	0.80558504
41	0.8029778787
42	0.8002099757
43	0.7980635958
44	0.7959508766
45	0.793294468
46	0.7909241898
47	0.7886130677
48	0.786414376
49	0.7835961108
50	0.7803892645
51	0.7773615241
52	0.7745553297
53	0.7718060162
54	0.7690026644
55	0.7672550235
56	0.7657760359
57	0.7634333209
58	0.7611940685
59	0.7588787248
60	0.7565419498
61	0.7539960898
62	0.7522109184
63	0.7504721961
64	0.7485592382
65	0.7457247265
66	0.7432787953
67	0.7403616349
68	0.7378359977
69	0.7364409446
70	0.7350857607
71	0.7332577462
72	0.7312167238
73	0.7292355079
74	0.7272525868
75	0.7252641735
76	0.7238515594
77	0.7221800914
78	0.7206472158
79	0.7191952936
80	0.7168996354
81	0.7154390742
82	0.7127705089
83	0.7111548446
84	0.7091650407
85	0.7066717185
86	0.7052816045
87	0.7040683578
88	0.7026123134
89	0.7010045095
90	0.6993063573
91	0.697583698
92	0.69657223
93	0.694701072
94	0.6926864642
95	0.6903880857
96	0.6889771175
97	0.6877452419
98	0.6860995336
99	0.6838579273
100	0.6824606218
101	0.681115199
102	0.6800080923
103	0.677869162
104	0.6765176145
105	0.675445207
106	0.673925154
107	0.6722762778
108	0.6711693321
109	0.6694189343
110	0.6678082905
111	0.6663406837
112	0.6650341427
113	0.6632935642
114	0.6613219003
115	0.659747035
116	0.6585781122
117	0.6573346279
118	0.6554108613
119	0.6544120962
120	0.6523023217
121	0.651090185
122	0.6501243287
123	0.647532726
124	0.6467811768
125	0.6457467946
126	0.6439566276
127	0.642929029
128	0.6417197515
129	0.6406423714
130	0.639809969
131	0.638881435
132	0.6379398819
133	0.6369534342
134	0.6350545611
135	0.6333968102
136	0.6321656497
137	0.6311452655
138	0.6301650123
139	0.628993944
140	0.6273733812
141	0.6263952497
142	0.6251914812
143	0.6233752981
144	0.6221791619
145	0.6205451123
146	0.6195769094
147	0.6190273607
148	0.6176188731
149	0.6161226781
150	0.6151810408
151	0.6136017867
152	0.6129326273
153	0.6117344824
154	0.6110458098
155	0.6094609989
156	0.6078399197
157	0.6070810667
158	0.605663499
159	0.6047025963
160	0.6034533372
161	0.6024960621
162	0.6008835049
163	0.5997483245
164	0.5980722753
165	0.5971484646
166	0.595788069
167	0.5949839636
168	0.5938970582
169	0.5933017418
170	0.5924110754
171	0.5909231541
