iter	Passed	Remaining
0	44	35524
1	89	35701
2	132	35284
3	178	35588
4	221	35230
5	265	35196
6	309	35025
7	352	34891
8	397	34946
9	444	35086
10	491	35267
11	534	35068
12	577	34953
13	621	34868
14	665	34851
15	710	34817
16	754	34771
17	799	34728
18	846	34806
19	894	34879
20	941	34908
21	991	35064
22	1036	35030
23	1081	34959
24	1126	34922
25	1170	34840
26	1216	34816
27	1258	34706
28	1303	34657
29	1349	34636
30	1394	34593
31	1440	34566
32	1486	34557
33	1530	34478
34	1574	34409
35	1617	34324
36	1662	34274
37	1708	34266
38	1756	34265
39	1802	34250
40	1846	34178
41	1889	34109
42	1933	34038
43	1977	33978
44	2024	33968
45	2074	33998
46	2118	33938
47	2164	33916
48	2208	33855
49	2254	33818
50	2299	33774
51	2343	33712
52	2387	33643
53	2429	33565
54	2477	33555
55	2519	33475
56	2565	33441
57	2611	33404
58	2656	33365
59	2702	33327
60	2746	33271
61	2794	33259
62	2837	33197
63	2881	33140
64	2925	33083
65	2972	33054
66	3017	33009
67	3060	32944
68	3107	32916
69	3155	32907
70	3199	32851
71	3242	32788
72	3286	32730
73	3330	32674
74	3373	32615
75	3418	32568
76	3463	32516
77	3507	32463
78	3551	32417
79	3597	32373
80	3641	32324
81	3684	32264
82	3731	32236
83	3776	32189
84	3824	32167
85	3875	32176
86	3923	32158
87	3973	32147
88	4020	32117
89	4067	32090
90	4113	32047
91	4160	32016
92	4206	31980
93	4257	31980
94	4305	31950
95	4352	31916
96	4397	31872
97	4441	31818
98	4488	31781
99	4533	31735
100	4576	31673
101	4622	31635
102	4666	31577
103	4710	31521
104	4753	31462
105	4797	31408
106	4841	31354
107	4884	31295
108	4929	31247
109	4976	31217
110	5022	31174
111	5068	31134
112	5113	31087
113	5156	31031
114	5200	30977
115	5243	30921
116	5288	30873
117	5337	30850
118	5382	30804
119	5426	30752
120	5472	30711
121	5518	30666
122	5562	30616
123	5607	30571
124	5650	30513
125	5694	30459
126	5738	30409
127	5781	30353
128	5824	30298
129	5871	30259
130	5917	30218
131	5963	30180
132	6008	30132
133	6052	30083
134	6096	30032
135	6140	29980
136	6184	29930
137	6229	29885
138	6273	29833
139	6319	29792
140	6364	29744
141	6411	29709
142	6458	29674
143	6503	29627
144	6544	29564
145	6588	29511
146	6633	29466
147	6676	29412
148	6722	29372
149	6767	29325
150	6810	29270
151	6854	29221
152	6899	29178
153	6943	29128
154	6987	29076
155	7031	29025
156	7075	28978
157	7119	28928
158	7164	28881
159	7207	28831
160	7253	28787
161	7296	28733
162	7339	28681
163	7384	28638
164	7429	28591
165	7478	28563
166	7525	28523
167	7570	28478
168	7614	28432
169	7658	28381
170	7701	28330
171	7746	28283
172	7789	28232
173	7833	28184
174	7877	28134
175	7922	28089
176	7968	28046
177	8011	27995
178	8056	27951
179	8106	27923
180	8151	27875
181	8194	27826
182	8238	27776
183	8281	27726
184	8328	27685
185	8373	27641
186	8418	27596
187	8462	27549
188	8509	27509
189	8555	27467
190	8602	27428
191	8651	27396
192	8694	27344
193	8739	27298
194	8783	27252
195	8827	27201
196	8871	27156
197	8915	27106
198	8958	27056
199	9005	27016
200	9049	26968
201	9092	26918
202	9138	26874
203	9184	26831
204	9228	26785
205	9272	26737
206	9316	26689
207	9359	26638
208	9404	26592
209	9450	26550
210	9495	26505
211	9539	26458
212	9584	26412
213	9628	26365
214	9678	26334
215	9724	26292
216	9770	26249
217	9814	26202
218	9860	26158
219	9905	26115
220	9950	26068
221	9995	26024
222	10040	25980
223	10084	25932
224	10128	25883
225	10172	25837
226	10219	25796
227	10263	25748
228	10311	25711
229	10356	25664
230	10403	25625
231	10448	25581
232	10493	25534
233	10536	25486
234	10580	25438
235	10624	25390
236	10667	25340
237	10711	25293
238	10755	25246
239	10803	25208
240	10853	25174
241	10898	25130
242	10943	25083
243	10988	25039
244	11032	24992
245	11077	24946
246	11120	24898
247	11166	24854
248	11209	24806
249	11254	24760
250	11301	24719
251	11345	24671
252	11389	24624
253	11432	24575
254	11478	24533
255	11521	24483
256	11567	24440
257	11611	24393
258	11656	24347
259	11701	24303
260	11747	24260
261	11794	24218
262	11838	24172
263	11882	24124
264	11931	24088
265	11977	24045
266	12022	23999
267	12067	23955
268	12112	23909
269	12157	23863
270	12202	23819
271	12246	23771
272	12291	23727
273	12336	23681
274	12380	23635
275	12424	23588
276	12468	23541
277	12511	23492
278	12556	23448
279	12602	23404
280	12648	23360
281	12691	23312
282	12734	23263
283	12779	23218
284	12827	23179
285	12870	23130
286	12914	23084
287	12962	23044
288	13011	23006
289	13060	22968
290	13109	22930
291	13154	22886
292	13201	22843
293	13247	22799
294	13293	22756
295	13340	22714
296	13387	22673
297	13434	22630
298	13479	22586
299	13523	22539
300	13568	22493
301	13613	22448
302	13657	22402
303	13701	22355
304	13745	22308
305	13788	22260
306	13836	22220
307	13883	22177
308	13929	22134
309	13974	22087
310	14017	22041
311	14061	21992
312	14105	21946
313	14149	21900
314	14194	21855
315	14244	21816
