inicio,fim,conc_silica,conc_fe,param_dosagem_amido,dosagem_amina_conc_magnetica,ph_flotacao_linha01,ph_flotacao_linha02,densidade_alimentacao_flotacao,nivel_celula_li640101,TO_LI6401_02,nivel_celula_li640201,nivel_celula_li640202,nivel_celula_li641101,nivel_celula_li641102,nivel_celula_li641201,nivel_celula_li641202,nivel_celula_li642101,nivel_celula_li642201,nivel_celula_li643101,nivel_celula_li643201,vazao_alimentacao_flotacao,operacao,cluster,inicio_dt,fim_dt
2024-03-01 00:00:00.000,,1.23,65.17,491.0,145.32,9.52,9.49,1.63,370.09,371.18,363.3,348.41,349.82,349.26,349.18,349.37,288.39,374.6,360.02,324.01,878.91,True,0,,
2024-03-01 00:20:00.000,,1.23,65.17,491.0,136.45,9.51,9.5,1.63,369.73,370.12,371.42,344.86,351.62,349.79,350.79,350.83,288.21,374.23,359.16,321.79,883.97,True,0,,
2024-03-01 00:40:00.000,,1.23,65.17,491.0,135.01,9.51,9.47,1.63,369.55,368.72,372.78,368.16,351.73,349.7,352.46,353.01,296.97,381.41,358.84,323.44,886.91,True,0,,
2024-03-01 01:00:00.000,,1.34,64.96,491.0,135.0,9.52,9.48,1.63,370.37,370.28,367.73,354.16,350.89,349.74,347.67,347.79,292.83,386.43,361.46,321.95,864.96,True,0,,
2024-03-01 01:20:00.000,,1.34,64.96,491.0,135.0,9.52,9.47,1.63,369.57,368.94,368.55,366.0,347.39,349.37,349.69,349.55,298.74,391.62,359.34,320.56,843.07,True,0,,
2024-03-01 01:40:00.000,,1.34,64.96,491.0,135.0,9.49,9.45,1.63,370.18,367.6,371.3,371.24,347.13,350.95,350.69,350.75,301.3,396.44,359.7,319.56,864.08,True,0,,
2024-03-01 02:00:00.000,,1.34,64.96,491.0,135.0,9.52,9.48,1.63,370.15,373.17,371.64,366.71,352.3,350.12,349.83,349.59,304.17,403.84,359.82,320.57,854.2,True,0,,
2024-03-01 02:20:00.000,,1.34,64.96,491.0,135.0,9.56,9.49,1.63,370.6,369.87,366.05,366.28,350.55,350.57,349.93,351.44,304.98,408.51,359.06,317.28,850.39,True,0,,
2024-03-01 02:40:00.000,,1.34,64.96,491.02,135.0,9.54,9.44,1.63,370.07,369.63,374.48,372.01,352.51,349.9,352.23,358.36,315.08,409.71,359.04,315.92,875.99,True,0,,
2024-03-01 03:00:00.000,,1.24,64.74,492.66,135.0,9.51,9.42,1.64,370.22,369.49,369.64,370.88,347.54,349.4,350.79,346.1,324.29,408.92,357.23,314.65,863.23,True,0,,
2024-03-01 03:20:00.000,,1.24,64.74,495.38,135.0,9.49,9.39,1.63,369.3,340.87,347.7,361.18,339.64,348.76,347.43,345.24,321.15,407.94,354.85,315.61,788.26,True,0,,
2024-03-01 03:40:00.000,,1.24,64.74,497.78,135.22,9.58,9.24,1.58,371.67,317.4,312.79,337.83,354.23,349.98,348.53,349.87,296.78,406.96,360.69,304.5,646.05,True,0,,
2024-03-01 04:00:00.000,,1.24,64.74,498.79,137.4,9.59,9.44,1.47,370.4,381.42,342.15,346.16,362.89,351.19,349.68,349.9,277.11,391.5,355.64,283.87,610.62,True,0,,
2024-03-01 04:20:00.000,,1.24,64.74,499.64,140.05,9.59,9.43,1.36,369.99,370.07,377.06,369.42,351.47,350.17,350.74,352.34,266.76,346.04,360.51,247.24,545.83,True,0,,
2024-03-01 04:40:00.000,,1.24,64.74,500.0,141.55,9.47,9.31,1.35,371.15,372.55,375.25,373.99,350.96,349.77,360.48,352.61,220.47,290.91,355.64,223.21,497.01,True,0,,
2024-03-01 05:00:00.000,,1.23,64.67,500.0,141.36,9.42,9.24,1.27,370.18,370.7,370.38,369.44,351.46,349.54,348.24,347.92,176.41,245.19,349.8,215.84,511.4,True,0,,
2024-03-01 05:20:00.000,,1.23,64.67,500.0,141.39,9.49,9.36,1.39,371.22,372.07,373.3,375.33,357.49,351.07,350.58,352.59,255.17,294.48,357.81,236.96,638.05,True,0,,
2024-03-01 05:40:00.000,,1.23,64.67,500.0,143.8,9.51,9.45,1.52,368.15,353.44,343.31,328.8,340.34,347.57,341.1,344.61,356.13,407.87,359.98,339.17,721.53,True,0,,
2024-03-01 06:00:00.000,,1.23,64.67,500.0,146.82,9.42,9.39,1.53,368.74,374.64,347.89,303.7,351.35,350.59,349.77,350.11,361.2,399.99,357.5,314.73,717.49,True,0,,
2024-03-01 06:20:00.000,,1.23,64.67,500.0,148.7,9.41,9.43,1.57,370.12,370.64,358.32,312.58,351.3,349.98,349.67,349.12,359.86,401.27,356.58,322.35,711.32,True,0,,
2024-03-01 06:40:00.000,,1.23,64.67,500.0,148.72,9.59,9.33,1.46,372.65,313.27,299.38,289.91,344.21,349.7,347.45,347.88,317.11,387.46,349.71,314.95,587.94,True,0,,
2024-03-01 07:00:00.000,,1.23,65.96,500.0,148.72,9.49,9.39,1.48,368.53,380.8,380.09,361.7,359.14,351.29,364.24,356.98,356.58,372.86,362.14,298.97,677.14,True,0,,
2024-03-01 07:20:00.000,,1.23,65.96,500.0,148.72,9.52,9.36,1.42,371.42,332.86,314.0,322.86,347.35,347.02,337.09,345.69,319.32,361.43,349.21,298.12,570.58,True,0,,
2024-03-01 07:40:00.000,,1.23,65.96,500.0,148.72,9.58,9.42,1.19,371.66,382.57,378.96,359.58,353.11,350.59,349.7,351.1,320.25,316.14,356.42,245.12,623.25,True,0,,
2024-03-01 08:00:00.000,,1.23,65.96,500.0,148.72,9.44,9.32,1.25,370.13,370.57,380.04,377.3,356.06,349.88,361.28,353.89,358.4,410.0,357.44,337.65,766.82,True,0,,
2024-03-01 08:20:00.000,,1.23,65.96,500.0,148.72,9.46,9.36,1.31,370.09,369.2,368.86,367.25,347.66,348.31,354.94,353.95,361.32,410.0,359.39,371.03,766.98,True,0,,
2024-03-01 08:40:00.000,,1.23,65.96,500.0,148.72,9.53,9.45,1.32,369.64,368.93,369.25,369.73,349.58,350.03,346.54,345.31,359.39,410.0,359.11,378.66,755.36,True,0,,
2024-03-01 09:00:00.000,,1.51,65.89,500.0,148.72,9.49,9.4,1.33,370.23,370.43,369.41,369.56,349.98,349.07,350.38,348.96,361.93,410.0,355.6,382.76,772.75,True,0,,
2024-03-01 09:20:00.000,,1.51,65.89,469.93,86.42,9.13,9.07,1.22,331.75,302.54,135.05,153.59,220.83,288.55,194.82,210.78,211.15,265.79,169.65,181.14,282.53,False,-1,,
2024-03-01 09:40:00.000,,1.51,65.89,460.93,62.1,8.28,8.46,1.16,314.87,269.19,0.0,0.95,148.64,101.43,8.54,0.96,40.34,127.46,21.09,0.0,40.87,False,-1,,
2024-03-01 10:00:00.000,,1.51,65.89,470.54,72.68,8.46,8.24,1.19,319.85,270.07,1.37,0.0,150.03,131.81,24.36,0.56,65.67,56.53,0.08,0.0,524.02,True,-1,,
2024-03-01 10:20:00.000,,1.51,65.89,479.88,83.86,10.27,9.57,1.2,372.92,275.95,336.52,37.64,209.77,280.25,72.78,0.94,149.07,111.47,5.58,0.0,510.75,True,-1,,
2024-03-01 10:40:00.000,,1.51,65.89,488.94,95.63,9.47,9.31,1.17,373.08,372.41,377.89,201.61,382.97,341.05,240.14,1.32,327.77,349.03,179.53,113.63,620.7,True,-1,,
2024-03-01 11:00:00.000,,1.51,65.89,497.64,107.4,9.44,9.31,1.25,369.29,375.63,374.55,370.79,358.39,350.56,359.64,67.34,353.08,407.56,196.22,331.95,657.21,True,0,,
2024-03-01 11:20:00.000,,1.51,65.89,500.0,119.17,9.49,9.43,1.3,369.38,369.04,368.98,364.73,351.97,350.22,361.44,315.78,359.9,407.33,359.2,369.18,703.29,True,0,,
2024-03-01 11:40:00.000,,1.51,65.89,500.0,130.94,9.6,9.49,1.26,371.49,370.89,371.76,373.73,351.44,350.83,348.79,282.08,353.47,399.57,357.45,321.28,657.24,True,0,,
2024-03-01 12:00:00.000,,1.51,65.89,500.0,142.71,9.32,9.23,1.4,368.2,370.59,369.46,368.06,352.37,350.66,357.08,360.39,362.6,409.74,359.75,363.51,752.29,True,0,,
2024-03-01 12:20:00.000,,1.51,65.89,500.0,149.15,9.39,9.33,1.55,369.08,363.84,359.97,313.82,337.96,346.7,335.57,294.59,358.15,405.48,352.08,370.08,791.51,True,0,,
2024-03-01 12:40:00.000,,1.52,65.89,500.0,150.83,9.7,9.54,1.29,372.63,374.61,380.63,329.08,355.79,351.78,352.11,192.62,289.54,337.42,337.62,280.06,651.25,True,0,,
2024-03-01 13:00:00.000,,8.79,60.8,500.0,152.3,9.6,9.42,1.17,366.56,345.72,367.13,351.1,339.25,346.95,342.98,294.03,284.98,388.12,354.07,218.61,641.12,True,-1,,
2024-03-01 13:20:00.000,,8.79,60.8,500.0,152.5,9.43,9.22,1.17,366.18,259.52,369.06,256.61,325.28,338.91,305.82,18.21,362.61,406.9,363.23,365.86,700.58,True,-1,,
2024-03-01 13:40:00.000,,8.79,60.8,500.0,152.5,9.21,9.05,1.27,383.12,342.6,384.19,356.77,369.48,336.94,344.3,8.22,389.9,407.28,370.81,365.99,920.26,True,-1,,
2024-03-01 14:00:00.000,,8.79,60.8,500.0,153.35,9.52,9.42,1.51,362.83,372.12,358.21,360.61,361.23,350.46,370.73,322.56,327.25,407.66,329.02,358.69,907.8,True,0,,
2024-03-01 14:20:00.000,,8.79,60.8,500.0,155.02,9.59,9.55,1.63,368.98,366.33,363.13,340.42,344.4,349.23,341.57,311.76,355.66,404.38,358.37,346.85,814.41,True,0,,
2024-03-01 14:40:00.000,,8.79,60.8,499.93,159.65,9.5,9.4,1.61,370.58,370.52,371.14,292.68,351.24,350.56,336.05,157.08,347.04,391.97,357.86,325.13,739.79,True,0,,
