inicio,fim,conc_silica,conc_fe,param_dosagem_amido,dosagem_amina_conc_magnetica,ph_flotacao_linha01,ph_flotacao_linha02,densidade_alimentacao_flotacao,nivel_celula_li640101,TO_LI6401_02,nivel_celula_li640201,nivel_celula_li640202,nivel_celula_li641101,nivel_celula_li641102,nivel_celula_li641201,nivel_celula_li641202,nivel_celula_li642101,nivel_celula_li642201,nivel_celula_li643101,nivel_celula_li643201,vazao_alimentacao_flotacao,operacao,cluster,inicio_dt,fim_dt
2024-08-01 00:00:00.000,,2.06,65.98,475.82,180.0,9.51,9.08,1.62,371.1,315.97,341.51,369.85,352.98,350.85,349.26,350.36,357.88,407.92,233.45,288.01,804.13,True,1,,
2024-08-01 00:20:00.000,,2.06,65.98,474.69,180.0,9.53,9.11,1.61,369.2,321.36,337.66,369.35,350.92,350.08,349.75,350.72,356.43,407.5,223.48,301.35,757.25,True,1,,
2024-08-01 00:40:00.000,,2.06,65.98,473.45,180.0,9.63,9.28,1.53,372.77,372.23,382.96,373.95,363.08,352.1,355.53,351.98,368.59,407.09,219.69,367.92,711.26,True,1,,
2024-08-01 01:00:00.000,,1.84,65.68,472.44,180.0,9.41,9.06,1.55,369.1,370.94,368.16,368.34,361.57,349.2,349.94,349.65,361.44,407.16,216.38,361.11,755.71,True,1,,
2024-08-01 01:20:00.000,,1.84,65.68,472.34,180.0,9.55,9.22,1.54,370.65,369.63,368.84,369.55,349.97,350.31,347.65,348.56,357.19,407.64,232.74,324.06,703.8,True,1,,
2024-08-01 01:40:00.000,,1.84,65.68,472.34,180.0,9.6,9.27,1.44,371.47,372.43,379.68,375.91,357.22,350.46,353.7,350.99,365.42,408.13,221.74,349.08,679.82,True,1,,
2024-08-01 02:00:00.000,,1.84,65.68,472.66,180.0,9.3,8.93,1.57,368.17,369.02,364.39,365.35,358.39,346.12,359.97,349.89,358.79,408.61,270.52,316.93,865.68,True,1,,
2024-08-01 02:20:00.000,,1.84,65.68,474.32,180.0,9.4,9.0,1.63,370.08,368.64,365.36,367.13,362.31,352.91,349.91,350.71,357.82,409.1,272.94,357.02,852.49,True,1,,
2024-08-01 02:40:00.000,,1.84,65.68,476.22,180.0,9.49,9.15,1.62,369.14,370.1,374.53,371.85,363.39,350.31,347.0,348.61,360.9,409.59,275.06,236.82,843.33,True,1,,
2024-08-01 03:00:00.000,,1.84,65.68,478.5,180.0,9.53,9.18,1.61,369.08,370.06,369.39,370.13,345.79,350.31,348.96,350.69,360.0,409.37,293.56,226.91,803.25,True,1,,
2024-08-01 03:20:00.000,,1.84,65.68,480.82,180.0,9.39,9.04,1.62,369.68,369.26,365.2,367.15,349.37,349.53,346.44,349.58,359.87,409.45,280.05,285.82,789.4,True,1,,
2024-08-01 03:40:00.000,,1.84,65.68,482.55,180.0,9.34,8.99,1.6,370.6,370.63,371.86,372.64,340.98,349.12,349.32,350.3,362.49,407.29,291.12,320.57,748.92,True,1,,
2024-08-01 04:00:00.000,,1.84,65.68,482.27,180.0,9.46,9.12,1.62,370.11,357.98,368.68,364.79,335.07,346.25,348.66,339.67,361.23,407.24,330.2,311.32,808.2,True,1,,
2024-08-01 04:20:00.000,,1.84,65.68,481.83,180.0,9.42,9.05,1.62,369.66,339.04,370.8,356.79,335.81,350.07,349.34,347.85,357.48,406.89,349.1,359.6,864.1,True,1,,
2024-08-01 04:40:00.000,,1.84,65.68,481.49,180.0,9.41,9.04,1.61,371.47,315.37,380.6,368.37,341.48,349.48,348.02,333.52,355.97,405.3,351.85,252.95,814.18,True,1,,
2024-08-01 05:00:00.000,,3.49,64.64,481.46,180.0,9.31,8.94,1.61,371.91,357.87,380.96,377.0,357.55,351.63,355.2,343.56,356.47,408.58,363.86,135.98,788.56,True,1,,
2024-08-01 05:20:00.000,,3.49,64.64,481.47,180.0,9.61,9.2,1.56,366.12,317.79,366.73,347.37,339.18,349.03,294.31,349.61,362.82,409.21,358.51,307.59,698.55,True,1,,
2024-08-01 05:40:00.000,,3.49,64.64,481.98,180.0,9.41,9.04,1.52,370.44,369.52,364.14,365.92,368.8,351.65,356.01,341.34,357.82,406.79,356.49,401.93,758.58,True,1,,
2024-08-01 06:00:00.000,,3.49,64.64,482.78,180.0,9.47,9.14,1.58,370.77,366.17,366.65,372.01,345.85,349.64,350.68,328.33,367.21,404.82,362.76,404.64,823.23,True,1,,
2024-08-01 06:20:00.000,,3.49,64.64,483.56,180.0,9.62,9.26,1.61,368.18,323.35,363.12,352.34,340.77,348.95,290.07,337.86,355.98,409.11,359.58,399.17,788.64,True,1,,
2024-08-01 06:40:00.000,,3.49,64.64,483.85,179.82,9.58,9.22,1.61,369.01,303.41,357.55,357.09,351.51,349.75,314.46,348.59,359.52,408.91,359.57,386.62,762.94,True,1,,
2024-08-01 07:00:00.000,,5.62,62.57,483.85,178.13,9.47,9.13,1.62,369.8,316.38,374.71,372.12,364.03,351.34,340.92,341.46,362.85,408.73,360.42,337.06,794.91,True,1,,
2024-08-01 07:20:00.000,,5.62,62.57,483.85,176.1,9.49,9.13,1.63,370.76,311.92,359.2,366.7,354.82,350.45,348.79,350.64,357.1,408.76,359.9,290.95,808.4,True,1,,
2024-08-01 07:40:00.000,,5.62,62.57,483.85,174.24,9.4,9.09,1.62,369.77,315.73,380.41,372.98,346.24,349.46,355.13,352.78,363.08,403.99,359.85,356.3,767.33,True,1,,
2024-08-01 08:00:00.000,,5.62,62.57,483.85,172.57,9.44,9.14,1.62,370.29,325.15,371.43,369.6,346.76,349.81,347.01,348.27,359.67,409.26,359.01,338.15,818.01,True,1,,
2024-08-01 08:20:00.000,,5.62,62.57,483.85,170.9,9.57,9.23,1.62,368.72,320.91,358.6,357.31,345.94,349.32,346.26,349.03,356.01,409.8,359.63,382.36,823.86,True,1,,
2024-08-01 08:40:00.000,,5.62,62.57,483.85,170.0,9.47,9.14,1.63,371.25,329.21,384.72,373.95,356.54,349.94,352.72,351.08,363.1,408.68,360.53,301.29,856.06,True,1,,
2024-08-01 09:00:00.000,,3.8,63.19,483.85,170.0,9.48,9.14,1.62,370.14,373.07,365.41,370.06,359.88,350.77,349.77,349.58,355.96,409.01,359.16,369.6,861.55,True,1,,
2024-08-01 09:20:00.000,,3.8,63.19,483.84,170.0,9.51,9.15,1.61,370.87,372.35,370.85,369.53,354.16,349.76,349.34,353.14,363.29,353.18,360.57,334.73,920.57,True,1,,
2024-08-01 09:40:00.000,,3.8,63.19,483.34,170.0,9.5,9.13,1.63,369.92,372.96,373.38,370.82,351.09,350.04,349.55,350.09,363.46,354.88,361.7,268.14,962.82,True,1,,
2024-08-01 10:00:00.000,,3.8,63.19,482.56,170.0,9.5,9.16,1.62,370.41,364.89,371.67,371.57,342.87,349.73,350.59,350.76,360.68,360.62,360.34,284.54,942.79,True,1,,
2024-08-01 10:20:00.000,,3.8,63.19,481.78,170.0,9.48,9.13,1.63,370.03,370.18,370.67,370.48,348.87,350.51,347.22,350.39,359.29,372.78,359.07,296.53,981.11,True,1,,
2024-08-01 10:40:00.000,,3.8,63.19,481.5,170.0,9.5,9.12,1.63,368.92,324.31,368.6,358.95,334.58,349.92,336.95,348.39,357.62,385.54,360.6,300.96,964.62,True,1,,
2024-08-01 11:00:00.000,,2.66,67.02,481.5,170.0,9.55,9.17,1.63,369.82,304.21,372.01,371.61,343.46,349.65,338.98,342.05,361.32,404.7,360.86,317.86,909.21,True,1,,
2024-08-01 11:20:00.000,,2.66,67.02,481.5,169.67,9.54,9.18,1.63,369.41,300.0,363.64,359.97,349.39,350.12,333.6,346.01,359.0,397.33,359.72,311.77,861.84,True,1,,
2024-08-01 11:40:00.000,,2.66,67.02,481.5,166.89,9.5,9.13,1.63,370.21,301.03,364.79,370.41,353.38,351.04,347.07,341.27,360.16,389.74,359.7,314.11,850.84,True,1,,
