,inicio,fim,conc_silica,conc_fe,param_dosagem_amido,dosagem_amina_conc_magnetica,ph_flotacao_linha01,ph_flotacao_linha02,densidade_alimentacao_flotacao,nivel_celula_li640101,TO_LI6401_02,nivel_celula_li640201,nivel_celula_li640202,nivel_celula_li641101,nivel_celula_li641102,nivel_celula_li641201,nivel_celula_li641202,nivel_celula_li642101,nivel_celula_li642201,nivel_celula_li643101,nivel_celula_li643201,vazao_alimentacao_flotacao,operacao,inicio_dt,mudou,tempo_entre_mudancas,fora_do_esperado
2,2024-02-01 03:00:00.000,2024-02-01 03:20:00.000,2.89,63.93,493.1,142.29,9.55,0.0,1.36,327.49,371.64,363.12,367.38,361.4,353.92,325.42,174.35,358.32,410.0,204.54,368.01,893.76,True,2024-02-01 03:00:00.000,True,0 days 02:00:00,False
3,2024-02-01 05:00:00.000,2024-02-01 05:20:00.000,2.61,63.93,494.04,143.75,9.49,0.0,1.16,341.32,380.07,373.95,366.42,354.27,350.5,344.44,335.46,374.26,409.56,168.36,385.37,1095.68,True,2024-02-01 05:00:00.000,True,0 days 02:00:00,False
5,2024-02-02 07:00:00.000,2024-02-02 07:20:00.000,4.43,63.5,496.57,168.9,9.57,0.0,1.62,369.22,370.47,359.57,370.12,350.22,350.14,350.32,323.76,364.36,397.2,358.57,343.15,970.81,True,2024-02-02 07:00:00.000,True,0 days 02:00:00,False
10,2024-02-02 13:00:00.000,2024-02-02 13:20:00.000,2.27,64.8,492.83,137.07,9.52,0.0,1.39,370.86,369.92,359.72,369.77,353.87,350.33,384.8,349.43,359.22,409.17,348.44,367.11,934.11,True,2024-02-02 13:00:00.000,True,0 days 02:00:00,False
11,2024-02-02 15:00:00.000,2024-02-02 15:20:00.000,1.68,65.26,496.01,146.91,9.5,0.0,1.58,370.78,370.39,359.37,370.76,347.64,345.62,410.0,338.1,360.06,410.0,359.42,358.84,986.79,True,2024-02-02 15:00:00.000,True,0 days 02:00:00,False
12,2024-02-02 17:00:00.000,2024-02-02 17:20:00.000,1.96,65.09,496.9,140.72,9.51,0.0,1.63,371.61,369.69,358.96,368.05,340.74,346.34,321.54,282.53,358.68,410.0,360.16,353.46,986.42,True,2024-02-02 17:00:00.000,True,0 days 02:00:00,False
13,2024-02-02 19:00:00.000,2024-02-02 19:20:00.000,1.5,65.6,495.76,148.42,9.46,0.0,1.62,369.57,375.96,408.39,177.23,400.69,350.18,0.0,10.99,351.92,365.56,361.55,169.45,1032.05,True,2024-02-02 19:00:00.000,True,0 days 02:00:00,False
14,2024-02-02 21:00:00.000,2024-02-02 21:20:00.000,4.86,63.49,495.77,138.56,9.5,0.0,1.46,391.61,409.26,215.38,0.05,373.98,349.37,21.38,9.67,360.26,153.79,361.48,1.12,1006.74,True,2024-02-02 21:00:00.000,True,0 days 02:00:00,False
15,2024-02-02 23:00:00.000,2024-02-02 23:20:00.000,1.69,65.98,495.8,159.69,9.48,0.0,1.34,399.94,407.57,0.0,0.1,334.86,349.01,4.55,14.45,360.64,368.89,361.55,0.57,996.3,True,2024-02-02 23:00:00.000,True,0 days 02:00:00,False
16,2024-02-03 01:00:00.000,2024-02-03 01:20:00.000,2.02,65.94,495.8,140.55,9.48,0.0,1.45,369.27,403.03,352.99,410.0,347.46,348.84,345.27,6.45,357.14,408.34,359.74,333.77,993.89,True,2024-02-03 01:00:00.000,True,0 days 02:00:00,False
17,2024-02-03 03:00:00.000,2024-02-03 03:20:00.000,1.62,66.33,497.16,150.15,9.5,0.0,1.45,401.39,410.0,253.64,402.22,357.01,350.87,5.89,45.16,360.56,177.32,356.52,60.65,981.95,True,2024-02-03 03:00:00.000,True,0 days 02:00:00,False
18,2024-02-03 05:00:00.000,2024-02-03 05:20:00.000,4.48,64.07,497.75,138.5,9.58,0.0,1.49,410.0,410.0,181.19,0.13,339.23,348.62,12.28,12.82,365.98,315.44,277.46,0.0,974.61,True,2024-02-03 05:00:00.000,True,0 days 02:00:00,False
19,2024-02-03 07:00:00.000,2024-02-03 07:20:00.000,3.61,65.16,498.93,169.88,9.56,0.0,1.64,410.0,410.0,0.0,0.0,352.26,350.02,7.04,14.47,365.99,360.32,314.5,0.0,947.41,True,2024-02-03 07:00:00.000,True,0 days 02:00:00,False
24,2024-02-03 13:00:00.000,2024-02-03 13:20:00.000,2.5,64.91,498.01,143.75,9.48,0.0,1.48,369.54,369.5,359.74,369.01,351.33,349.73,352.13,89.45,358.7,355.37,308.14,343.96,925.8,True,2024-02-03 13:00:00.000,True,0 days 02:00:00,False
25,2024-02-03 15:00:00.000,2024-02-03 15:20:00.000,3.74,65.41,499.72,143.75,9.47,0.0,1.51,368.97,367.86,358.51,368.65,347.26,348.43,349.19,53.8,361.01,346.44,401.38,348.9,957.6,True,2024-02-03 15:00:00.000,True,0 days 02:00:00,False
26,2024-02-03 17:00:00.000,2024-02-03 17:20:00.000,3.05,64.06,499.7,168.96,9.36,0.0,1.53,367.69,380.2,364.44,359.39,374.64,347.65,338.42,66.2,348.01,395.42,273.26,373.32,960.22,True,2024-02-03 17:00:00.000,True,0 days 02:00:00,False
27,2024-02-03 19:00:00.000,2024-02-03 19:20:00.000,2.1,65.07,499.42,164.17,9.49,0.0,1.65,368.93,364.67,329.79,365.52,347.81,346.18,348.99,11.68,359.25,355.43,293.1,365.24,738.82,True,2024-02-03 19:00:00.000,True,0 days 02:00:00,False
28,2024-02-03 21:00:00.000,2024-02-03 21:20:00.000,2.86,65.11,498.59,152.5,9.49,0.0,1.65,369.86,364.54,228.22,358.89,350.42,349.63,349.99,12.49,359.0,358.15,403.97,288.14,513.07,True,2024-02-03 21:00:00.000,True,0 days 02:00:00,False
29,2024-02-03 23:00:00.000,2024-02-03 23:20:00.000,1.61,65.34,496.95,150.31,9.53,0.0,1.64,369.82,370.56,376.86,374.49,352.28,350.09,352.04,12.18,362.31,367.71,360.12,360.05,821.32,True,2024-02-03 23:00:00.000,True,0 days 02:00:00,False
30,2024-02-04 01:00:00.000,2024-02-04 01:20:00.000,1.72,64.7,496.82,138.21,9.51,0.0,1.64,371.6,369.35,289.5,385.73,347.92,347.55,170.5,11.49,360.12,379.92,360.06,350.93,659.65,True,2024-02-04 01:00:00.000,True,0 days 02:00:00,False
31,2024-02-04 03:00:00.000,2024-02-04 03:20:00.000,1.25,64.88,496.9,141.42,9.49,0.0,1.64,371.07,370.82,324.88,320.12,350.01,347.98,345.89,12.58,356.83,370.5,359.75,360.8,722.5,True,2024-02-04 03:00:00.000,True,0 days 02:00:00,False
32,2024-02-04 05:00:00.000,2024-02-04 05:20:00.000,1.32,65.11,496.59,135.0,9.49,0.0,1.65,369.4,339.6,311.35,373.77,349.45,349.82,360.53,13.13,358.92,359.01,360.02,364.73,695.29,True,2024-02-04 05:00:00.000,True,0 days 02:00:00,False
33,2024-02-04 07:00:00.000,2024-02-04 07:20:00.000,1.91,64.2,496.55,135.0,9.46,0.0,1.66,369.23,339.91,277.98,371.23,346.53,347.14,319.65,13.26,359.19,334.67,358.67,309.74,622.53,True,2024-02-04 07:00:00.000,True,0 days 02:00:00,False
34,2024-02-04 09:00:00.000,2024-02-04 09:20:00.000,1.63,64.86,496.55,146.96,9.47,0.0,1.66,368.35,397.8,304.98,370.09,360.67,347.85,357.73,12.36,359.14,379.22,359.18,338.87,671.68,True,2024-02-04 09:00:00.000,True,0 days 02:00:00,False
35,2024-02-04 11:00:00.000,2024-02-04 11:20:00.000,1.51,63.9,495.3,138.74,9.5,0.0,1.66,370.51,368.4,327.71,364.79,349.31,350.46,350.02,12.27,351.25,360.33,350.17,266.77,686.12,True,2024-02-04 11:00:00.000,True,0 days 02:00:00,False
36,2024-02-04 13:00:00.000,2024-02-04 13:20:00.000,1.52,63.79,492.27,135.29,9.49,0.0,1.67,369.18,372.81,376.89,370.35,352.72,349.58,351.24,11.97,348.29,362.66,349.91,277.82,753.97,True,2024-02-04 13:00:00.000,True,0 days 02:00:00,False
37,2024-02-04 15:00:00.000,2024-02-04 15:20:00.000,2.69,63.21,490.85,135.58,9.5,0.0,1.67,369.76,375.78,374.15,372.4,357.65,340.04,357.38,11.26,349.55,365.24,350.43,211.15,770.63,True,2024-02-04 15:00:00.000,True,0 days 02:00:00,False
38,2024-02-04 17:00:00.000,2024-02-04 17:20:00.000,3.19,63.1,490.85,143.05,9.51,0.0,1.67,369.69,370.77,372.49,370.75,351.7,339.45,351.85,11.36,349.46,370.92,350.07,300.15,816.66,True,2024-02-04 17:00:00.000,True,0 days 02:00:00,False
39,2024-02-04 19:00:00.000,2024-02-04 19:20:00.000,2.74,63.1,491.02,170.0,9.51,0.0,1.66,369.14,370.6,341.03,370.99,352.62,336.01,347.4,11.99,349.85,405.73,349.66,267.82,727.06,True,2024-02-04 19:00:00.000,True,0 days 02:00:00,False
40,2024-02-04 21:00:00.000,2024-02-04 21:20:00.000,1.55,63.79,491.02,159.84,9.5,0.0,1.66,370.07,372.28,376.5,370.73,355.15,349.65,354.84,11.48,351.64,409.36,349.73,315.38,804.75,True,2024-02-04 21:00:00.000,True,0 days 02:00:00,False
42,2024-02-05 07:00:00.000,2024-02-05 07:20:00.000,3.08,62.88,493.9,145.79,9.49,0.0,1.64,369.79,369.77,360.55,314.17,350.2,346.19,350.84,11.57,350.28,360.33,349.71,277.23,805.59,True,2024-02-05 07:00:00.000,True,0 days 02:00:00,False
43,2024-02-05 09:00:00.000,2024-02-05 09:20:00.000,3.23,63.13,493.9,165.97,9.47,0.0,1.64,368.3,367.48,354.85,334.28,349.84,347.54,350.23,10.58,359.24,362.19,350.88,221.57,763.79,True,2024-02-05 09:00:00.000,True,0 days 02:00:00,False
44,2024-02-05 11:00:00.000,2024-02-05 11:20:00.000,2.49,63.42,492.25,170.0,9.49,0.0,1.63,370.24,371.28,324.77,357.22,353.81,347.15,353.16,10.72,360.56,347.52,268.23,321.14,755.88,True,2024-02-05 11:00:00.000,True,0 days 02:00:00,False
45,2024-02-05 13:00:00.000,2024-02-05 13:20:00.000,2.1,62.98,492.12,144.11,9.5,0.0,1.64,370.65,370.17,303.46,372.61,350.67,349.35,347.77,10.1,360.82,353.08,350.22,313.68,705.27,True,2024-02-05 13:00:00.000,True,0 days 02:00:00,False
47,2024-02-05 19:00:00.000,2024-02-05 19:20:00.000,2.83,62.71,491.75,137.33,9.11,0.0,1.58,345.23,367.94,57.6,0.27,327.08,310.29,30.85,7.71,366.08,360.81,351.68,0.0,501.5,True,2024-02-05 19:00:00.000,True,0 days 02:00:00,False
48,2024-02-05 21:00:00.000,2024-02-05 21:20:00.000,1.07,66.49,491.75,137.33,9.49,0.0,1.4,340.83,372.5,54.11,0.75,367.72,350.24,14.11,9.28,355.72,366.44,331.92,0.0,497.71,True,2024-02-05 21:00:00.000,True,0 days 02:00:00,False
49,2024-02-05 23:00:00.000,2024-02-05 23:20:00.000,1.63,66.32,493.53,146.06,9.5,0.0,1.47,370.26,354.34,0.0,1.18,345.47,348.48,17.24,8.42,358.79,360.55,347.81,0.0,494.32,True,2024-02-05 23:00:00.000,True,0 days 02:00:00,False
50,2024-02-06 01:00:00.000,2024-02-06 01:20:00.000,1.64,66.32,497.88,138.79,9.48,0.0,1.44,349.95,386.0,1.72,0.88,341.54,348.24,14.75,5.77,317.99,24.01,346.98,0.0,609.73,True,2024-02-06 01:00:00.000,True,0 days 02:00:00,False
51,2024-02-06 03:00:00.000,2024-02-06 03:20:00.000,2.75,64.81,493.67,139.08,9.5,0.0,1.43,370.19,371.31,2.21,0.57,351.08,349.07,18.81,8.17,360.86,26.98,350.78,1.53,499.44,True,2024-02-06 03:00:00.000,True,0 days 02:00:00,False
52,2024-02-06 05:00:00.000,2024-02-06 05:20:00.000,2.68,64.12,493.58,145.47,9.49,0.0,1.49,369.58,369.26,1.71,0.27,348.23,349.38,6.85,26.89,360.43,28.46,349.03,0.0,507.05,True,2024-02-06 05:00:00.000,True,0 days 02:00:00,False
53,2024-02-06 07:00:00.000,2024-02-06 07:20:00.000,2.82,63.67,497.58,143.75,9.5,0.0,1.45,369.88,374.47,1.12,0.0,351.57,350.42,6.43,18.92,359.17,28.28,349.83,0.04,522.4,True,2024-02-06 07:00:00.000,True,0 days 02:00:00,False
54,2024-02-06 09:00:00.000,2024-02-06 09:20:00.000,1.93,63.07,497.58,146.18,9.59,0.0,1.19,365.54,367.78,0.54,0.0,344.48,349.15,11.71,8.79,369.56,30.81,348.85,0.0,499.34,True,2024-02-06 09:00:00.000,True,0 days 02:00:00,False
56,2024-02-06 23:00:00.000,2024-02-06 23:20:00.000,1.64,65.44,490.0,165.57,9.49,0.0,1.6,327.65,355.38,0.0,1.09,307.32,405.01,7.81,16.1,334.56,23.89,352.07,0.21,574.11,True,2024-02-06 23:00:00.000,True,0 days 02:00:00,False
57,2024-02-07 01:00:00.000,2024-02-07 01:20:00.000,3.07,64.56,490.0,139.08,9.54,0.0,1.5,381.17,391.96,315.72,121.08,408.83,407.74,0.09,6.96,371.64,314.82,356.99,307.68,818.87,True,2024-02-07 01:00:00.000,True,0 days 02:00:00,False
58,2024-02-07 03:00:00.000,2024-02-07 03:20:00.000,8.49,62.52,493.7,153.4,9.49,0.0,1.63,372.56,368.44,336.61,323.86,341.13,389.87,359.28,248.72,364.72,384.29,349.76,247.9,601.15,True,2024-02-07 03:00:00.000,True,0 days 02:00:00,False
59,2024-02-07 05:00:00.000,2024-02-07 05:20:00.000,3.82,63.5,496.95,170.0,9.47,0.0,1.63,370.88,360.33,344.99,347.88,392.5,410.0,333.64,321.66,357.12,359.41,348.99,314.22,774.85,True,2024-02-07 05:00:00.000,True,0 days 02:00:00,False
60,2024-02-07 07:00:00.000,2024-02-07 07:20:00.000,3.38,64.24,490.02,170.0,9.21,0.0,1.61,371.67,407.68,364.81,363.2,405.75,409.76,351.45,349.11,362.09,386.44,350.99,354.76,907.27,True,2024-02-07 07:00:00.000,True,0 days 02:00:00,False
61,2024-02-07 09:00:00.000,2024-02-07 09:20:00.000,5.19,61.25,490.0,170.0,9.44,0.0,1.62,370.66,370.0,362.05,362.93,370.63,362.16,356.85,51.35,360.39,353.31,349.99,325.74,790.38,True,2024-02-07 09:00:00.000,True,0 days 02:00:00,False
62,2024-02-07 11:00:00.000,2024-02-07 11:20:00.000,2.43,63.86,490.08,170.0,9.16,0.0,1.61,362.62,363.46,339.62,356.38,338.24,348.96,337.0,311.32,349.74,352.75,350.34,342.81,649.62,True,2024-02-07 11:00:00.000,True,0 days 02:00:00,False
64,2024-02-07 14:40:00.000,2024-02-07 15:00:00.000,15.57,55.07,495.85,143.75,9.19,0.0,1.64,370.17,367.35,367.4,364.41,357.31,352.68,355.77,353.71,359.6,389.58,337.67,362.89,845.4,True,2024-02-07 14:40:00.000,True,0 days 02:00:00,False
66,2024-02-07 17:00:00.000,2024-02-07 17:20:00.000,5.36,62.3,492.75,138.2,9.71,0.0,1.26,362.92,352.77,352.6,355.09,347.76,347.96,352.0,11.71,361.32,318.23,350.05,292.67,629.04,True,2024-02-07 17:00:00.000,True,0 days 02:00:00,False
68,2024-02-07 23:00:00.000,2024-02-07 23:20:00.000,1.78,64.47,491.7,143.75,9.49,0.0,1.64,367.82,369.72,354.86,366.37,350.7,349.95,364.14,128.94,360.75,369.54,349.36,334.77,875.79,True,2024-02-07 23:00:00.000,True,0 days 02:00:00,False
69,2024-02-08 01:00:00.000,2024-02-08 01:20:00.000,1.98,63.59,491.69,143.17,9.5,0.0,1.63,369.93,370.92,354.24,217.22,351.63,350.33,330.35,12.91,360.56,361.35,351.0,273.59,675.95,True,2024-02-08 01:00:00.000,True,0 days 02:00:00,False
70,2024-02-08 03:00:00.000,2024-02-08 03:20:00.000,1.81,63.93,491.7,149.0,9.47,0.0,1.64,369.67,370.11,359.86,347.39,351.39,350.37,341.78,15.93,360.14,363.28,349.46,333.4,725.1,True,2024-02-08 03:00:00.000,True,0 days 02:00:00,False
71,2024-02-08 05:00:00.000,2024-02-08 05:20:00.000,1.53,64.59,492.5,144.03,9.51,0.0,1.64,371.48,370.56,367.7,215.84,349.81,349.5,350.19,13.94,361.18,365.58,350.32,215.32,730.38,True,2024-02-08 05:00:00.000,True,0 days 02:00:00,False
72,2024-02-08 07:00:00.000,2024-02-08 07:20:00.000,1.09,64.97,493.9,135.88,9.49,0.0,1.63,357.82,372.11,345.75,284.5,352.18,351.15,349.88,12.84,360.86,362.82,349.54,280.64,714.42,True,2024-02-08 07:00:00.000,True,0 days 02:00:00,False
73,2024-02-08 09:00:00.000,2024-02-08 09:20:00.000,1.12,64.81,494.02,135.0,9.49,0.0,1.64,335.84,361.95,346.63,346.26,347.64,410.0,352.09,11.41,353.61,352.77,350.64,296.01,745.84,True,2024-02-08 09:00:00.000,True,0 days 02:00:00,False
