intervalo_2h,conc_fe_media,param_dosagem_amido_media,dosagem_amina_conc_magnetica_media,ph_flotacao_linha01_media,ph_flotacao_linha02_media,densidade_alimentacao_flotacao_media,nivel_celula_li640101_media,TO_LI6401_02_media,nivel_celula_li640201_media,nivel_celula_li640202_media,nivel_celula_li641101_media,nivel_celula_li641102_media,nivel_celula_li641201_media,nivel_celula_li641202_media,nivel_celula_li642101_media,nivel_celula_li642201_media,nivel_celula_li643101_media,nivel_celula_li643201_media,vazao_alimentacao_flotacao_media,conc_fe_mediana,param_dosagem_amido_mediana,dosagem_amina_conc_magnetica_mediana,ph_flotacao_linha01_mediana,ph_flotacao_linha02_mediana,densidade_alimentacao_flotacao_mediana,nivel_celula_li640101_mediana,TO_LI6401_02_mediana,nivel_celula_li640201_mediana,nivel_celula_li640202_mediana,nivel_celula_li641101_mediana,nivel_celula_li641102_mediana,nivel_celula_li641201_mediana,nivel_celula_li641202_mediana,nivel_celula_li642101_mediana,nivel_celula_li642201_mediana,nivel_celula_li643101_mediana,nivel_celula_li643201_mediana,vazao_alimentacao_flotacao_mediana,conc_fe_q1,param_dosagem_amido_q1,dosagem_amina_conc_magnetica_q1,ph_flotacao_linha01_q1,ph_flotacao_linha02_q1,densidade_alimentacao_flotacao_q1,nivel_celula_li640101_q1,TO_LI6401_02_q1,nivel_celula_li640201_q1,nivel_celula_li640202_q1,nivel_celula_li641101_q1,nivel_celula_li641102_q1,nivel_celula_li641201_q1,nivel_celula_li641202_q1,nivel_celula_li642101_q1,nivel_celula_li642201_q1,nivel_celula_li643101_q1,nivel_celula_li643201_q1,vazao_alimentacao_flotacao_q1,conc_fe_q3,param_dosagem_amido_q3,dosagem_amina_conc_magnetica_q3,ph_flotacao_linha01_q3,ph_flotacao_linha02_q3,densidade_alimentacao_flotacao_q3,nivel_celula_li640101_q3,TO_LI6401_02_q3,nivel_celula_li640201_q3,nivel_celula_li640202_q3,nivel_celula_li641101_q3,nivel_celula_li641102_q3,nivel_celula_li641201_q3,nivel_celula_li641202_q3,nivel_celula_li642101_q3,nivel_celula_li642201_q3,nivel_celula_li643101_q3,nivel_celula_li643201_q3,vazao_alimentacao_flotacao_q3,conc_fe_n,param_dosagem_amido_n,dosagem_amina_conc_magnetica_n,ph_flotacao_linha01_n,ph_flotacao_linha02_n,densidade_alimentacao_flotacao_n,nivel_celula_li640101_n,TO_LI6401_02_n,nivel_celula_li640201_n,nivel_celula_li640202_n,nivel_celula_li641101_n,nivel_celula_li641102_n,nivel_celula_li641201_n,nivel_celula_li641202_n,nivel_celula_li642101_n,nivel_celula_li642201_n,nivel_celula_li643101_n,nivel_celula_li643201_n,vazao_alimentacao_flotacao_n,conc_silica_laudo
2024-02-01 00:00:00,63.07,500.0,150.78166666666667,9.448333333333332,0.0,1.415,350.44166666666666,370.1383333333333,354.78,364.68666666666667,356.91333333333336,349.905,401.57666666666665,352.28000000000003,358.6466666666667,410.0,218.14333333333335,352.93666666666667,998.4883333333333,63.07,500.0,151.71,9.485,0.0,1.43,350.385,369.08500000000004,356.56,364.6,347.475,349.79999999999995,403.64,351.17,359.895,410.0,216.065,354.145,998.905,62.09,500.0,149.73499999999999,9.45,0.0,1.415,344.41999999999996,367.0025,354.9825,363.38,343.8775,349.2575,397.385,348.45000000000005,357.925,410.0,211.335,348.4375,989.74,64.05,500.0,152.395,9.4975,0.0,1.4375,355.7125,372.945,358.05499999999995,365.7525,363.245,350.2975,405.2525,355.5175,360.0725,410.0,231.04749999999999,356.90500000000003,1008.2275,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.61
2024-02-01 02:00:00,63.99,495.1933333333333,143.78333333333333,9.441666666666666,0.0,1.3716666666666668,333.2083333333333,366.3566666666666,346.90500000000003,362.7183333333333,343.48,329.425,338.30833333333334,261.12666666666667,362.06,393.2383333333333,226.09666666666666,328.56,896.7616666666667,63.989999999999995,494.595,142.635,9.52,0.0,1.4,330.69500000000005,369.92499999999995,353.545,363.78,346.875,348.615,332.105,289.015,359.445,410.0,215.27499999999998,355.45,964.2750000000001,63.93,491.9825,142.31,9.504999999999999,0.0,1.2850000000000001,327.7825,367.545,349.9875,361.4725,333.3575,338.18,319.1725,202.5075,358.58,383.705,212.3625,302.355,910.8775,64.05,498.28749999999997,143.97250000000003,9.5425,0.0,1.4625,337.9725,371.0,356.885,367.025,350.11,349.2775,358.5,301.7975,359.89,410.0,222.0725,362.465,967.9475,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
2024-02-01 04:00:00,63.92999999999999,493.238,143.72,9.542,0.0,1.216,338.21799999999996,377.922,357.326,358.38,344.188,330.876,347.142,339.762,342.628,404.154,200.518,341.524,955.052,63.93,493.5,143.75,9.54,0.0,1.16,341.32,380.07,354.74,358.09,349.63,349.2,347.08,341.52,351.29,409.0,168.36,355.99,895.31,63.93,492.66,143.75,9.49,0.0,1.16,336.95,369.8,352.24,354.54,342.88,348.94,345.79,335.46,317.77,407.63,141.28,306.78,832.92,63.93,494.04,143.78,9.55,0.0,1.23,345.58,385.46,363.64,358.59,354.27,350.5,348.34,349.68,372.33,409.03,265.3,380.74,1095.68,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
2024-02-01 22:00:00,63.93,494.05,143.75,7.32,0.0,1.16,131.28,272.16,0.0,0.05,215.53,176.12,11.08,91.58,133.0,99.23,1.84,28.4,644.52,63.93,494.05,143.75,7.32,0.0,1.16,131.28,272.16,0.0,0.05,215.53,176.12,11.08,91.58,133.0,99.23,1.84,28.4,644.52,63.93,494.05,143.75,7.32,0.0,1.16,131.28,272.16,0.0,0.05,215.53,176.12,11.08,91.58,133.0,99.23,1.84,28.4,644.52,63.93,494.05,143.75,7.32,0.0,1.16,131.28,272.16,0.0,0.05,215.53,176.12,11.08,91.58,133.0,99.23,1.84,28.4,644.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2024-02-02 00:00:00,63.93,494.05,150.0,7.9,0.0,1.21,191.57,273.8,57.76,1.47,224.65,114.96,5.09,15.4,143.42,121.83,2.64,26.42,541.25,63.93,494.05,150.0,7.9,0.0,1.21,191.57,273.8,57.76,1.47,224.65,114.96,5.09,15.4,143.42,121.83,2.64,26.42,541.25,63.93,494.05,150.0,7.9,0.0,1.21,191.57,273.8,57.76,1.47,224.65,114.96,5.09,15.4,143.42,121.83,2.64,26.42,541.25,63.93,494.05,150.0,7.9,0.0,1.21,191.57,273.8,57.76,1.47,224.65,114.96,5.09,15.4,143.42,121.83,2.64,26.42,541.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2024-02-02 02:00:00,63.93,494.05,150.0,7.916666666666667,0.0,1.4766666666666666,355.15333333333336,358.04333333333335,343.8966666666667,281.24666666666667,300.18,242.95666666666668,253.14666666666668,245.09333333333333,282.00666666666666,249.06000000000003,92.62333333333333,138.48,958.2533333333334,63.93,494.05,150.0,7.4,0.0,1.45,371.65,360.12,353.16,360.44,331.94,240.86,345.99,236.7,321.16,308.16,5.88,76.83,957.68,63.93,494.05,150.0,7.395,0.0,1.4249999999999998,345.79499999999996,338.49,320.145,227.60500000000002,280.32,190.79500000000002,204.41000000000003,198.32,258.665,214.03000000000003,4.665,40.449999999999996,906.315,63.93,494.05,150.0,8.18,0.0,1.5150000000000001,372.76,378.635,372.28,374.485,335.91999999999996,294.07,348.305,287.66999999999996,324.925,313.64,137.21,205.685,1009.905,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5.48
2024-02-02 04:00:00,63.504,494.052,150.138,9.028,0.0,1.6019999999999999,352.97200000000004,354.812,338.264,327.308,334.93,302.582,336.718,278.904,348.20799999999997,366.15600000000006,293.258,288.184,976.436,63.22,494.05,150.0,9.5,0.0,1.64,369.22,365.8,358.13,367.05,360.41,335.5,345.11,317.66,355.21,394.91,306.86,283.31,1033.13,63.22,494.05,150.0,8.44,0.0,1.61,366.75,343.92,340.46,303.49,280.48,285.99,286.29,179.67,345.94,317.62,264.03,268.76,969.95,63.93,494.05,150.04,9.56,0.0,1.65,370.4,376.42,364.96,370.05,370.93,349.84,364.58,351.02,356.28,408.41,311.97,369.75,1157.73,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.43
2024-02-02 06:00:00,63.35999999999999,496.295,162.67,9.431666666666667,0.0,1.5583333333333333,370.53999999999996,372.3883333333333,362.3616666666667,370.70666666666665,355.7916666666667,343.8433333333333,353.10999999999996,295.18833333333333,357.97333333333336,359.48333333333335,353.1033333333333,325.615,984.5516666666666,63.36,496.565,165.35000000000002,9.49,0.0,1.58,370.03499999999997,370.61,360.91499999999996,369.775,353.125,349.725,351.12,342.82000000000005,363.025,398.53999999999996,349.06,355.07,980.24,63.22,496.44,155.86,9.36,0.0,1.4725,369.2925,368.9925,360.235,369.1225,350.805,348.395,350.4825,327.11,359.26,308.37,348.235,283.03,953.1925,63.5,496.57,169.725,9.545,0.0,1.6425,371.2575,371.7925,364.73749999999995,371.4775,355.85749999999996,350.515,358.155,355.27500000000003,364.135,407.47,356.26,369.72,992.67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
2024-02-02 08:00:00,60.84,496.56,170.0,9.436666666666667,0.0,1.5866666666666667,344.39000000000004,353.72333333333336,332.185,330.74833333333333,339.1166666666667,314.75333333333333,334.81666666666666,233.375,355.48333333333335,394.1566666666667,333.55,332.4316666666667,946.0833333333334,60.84,496.56,170.0,9.45,0.0,1.64,368.94,369.91499999999996,353.61,368.865,345.195,337.735,346.385,280.325,359.27,410.0,339.32,343.42499999999995,1071.285,58.18,496.55,170.0,9.36,0.0,1.58,332.2775,333.79,310.1325,288.46250000000003,317.855,315.46750000000003,319.015,149.52,351.6375,390.7925,334.5475,322.41,787.535,63.5,496.57,170.0,9.51,0.0,1.64,369.8875,370.625,359.2125,370.4875,360.0025,349.27,355.4175,343.4275,360.2725,410.0,343.755,357.255,1143.7375000000002,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
2024-02-02 10:00:00,62.18166666666667,496.50499999999994,170.0,9.496666666666668,0.0,1.5116666666666667,370.6066666666666,360.35833333333335,360.28833333333336,352.8616666666667,349.9166666666667,340.36333333333334,329.97333333333336,26.816666666666666,351.115,409.9883333333333,347.61999999999995,361.58166666666665,812.5833333333334,62.185,496.565,170.0,9.485,0.0,1.545,370.595,358.49,361.74,354.26,349.595,341.28,332.045,12.795,347.07500000000005,410.0,347.29999999999995,359.77,829.375,58.1825,496.5525,170.0,9.48,0.0,1.435,368.63,354.625,353.96999999999997,346.21,345.1475,340.3275,330.135,12.66,346.08,410.0,346.7475,354.70000000000005,776.185,66.18,496.57,170.0,9.49,0.0,1.58,372.6575,363.27,366.54,359.71500000000003,353.825,345.735,334.6375,13.125,355.1875,410.0,350.08,365.125,848.59,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2.27
